Date,Open,High,Low,Close,Adj Close,Volume
2004-03-26,31.156116,31.728138,31.003576,31.556532,20.203529,2535848
2004-03-29,31.728138,32.214355,31.709070,31.890211,20.417164,2604237
2004-03-30,31.947412,32.433632,31.756739,32.185757,20.606382,2400643
2004-03-31,32.233425,32.433632,31.985548,32.271557,20.661304,2882198
2004-04-01,32.262024,32.528969,32.195290,32.290627,20.673517,2396238
2004-04-02,32.748241,32.891251,32.395496,32.643372,20.899355,2329842
2004-04-05,32.462231,33.367931,32.462231,33.367931,21.363253,2404734
2004-04-06,33.272594,33.539539,33.120056,33.406067,21.387665,2676612
2004-04-07,33.224930,33.568142,32.643372,33.005653,21.131308,2764406
2004-04-08,33.272594,33.463268,32.900784,33.043789,21.155718,2533960
2004-04-12,33.043789,33.482338,32.986588,33.377468,21.369343,1814197
2004-04-13,33.539539,33.558605,32.805447,32.986588,21.119099,2287990
2004-04-14,32.843578,33.444202,32.710110,32.872181,21.045845,2534694
2004-04-15,33.015186,33.120056,32.519436,32.891251,21.058060,2328478
2004-04-16,33.062855,33.596741,32.910316,33.425137,21.399874,3661644
2004-04-19,33.320267,33.539539,32.938915,33.015186,21.137407,2983943
2004-04-20,33.129593,33.320267,32.405029,32.414562,20.752876,2717834
2004-04-21,32.652905,32.757778,32.233425,32.385963,20.734554,4538849
2004-04-22,32.366894,33.520473,32.223888,32.986588,21.119099,4817649
2004-04-23,33.110523,33.291664,32.652905,33.253529,21.290005,2261033
2004-04-26,33.196327,33.444202,33.034252,33.139126,21.216757,1752101
2004-04-27,33.463268,34.254566,33.387001,33.787415,21.631817,4738561
2004-04-28,33.844620,33.863686,33.263062,33.530006,21.467014,3085582
2004-04-29,33.482338,34.311768,33.406067,33.587208,21.503633,4657166
2004-04-30,33.634876,33.682545,32.719643,32.967518,21.106888,3883384
2004-05-03,32.977051,33.444202,32.767311,32.957985,21.100780,3066177
2004-05-04,32.948452,33.558605,32.814980,33.196327,21.253382,2553050
2004-05-05,33.139126,33.377468,32.891251,32.996120,21.125200,2231454
2004-05-06,32.738708,33.205860,32.519436,32.757778,20.972601,1851119
2004-05-07,32.414562,32.881714,32.176220,32.338295,20.704039,2045901
2004-05-10,31.937880,32.376431,31.470728,31.709070,20.301191,3483015
2004-05-11,31.709070,32.061817,31.566065,31.785339,20.350025,2625425
2004-05-12,31.804407,31.937880,31.232386,31.823475,20.374443,3270295
2004-05-13,31.604200,32.166687,31.604200,31.956945,20.459879,2210895
2004-05-14,31.947412,32.157154,31.413527,31.918812,20.435478,1857517
2004-05-17,31.318190,31.871143,30.927307,31.079845,19.898338,3475148
2004-05-18,31.051245,31.890211,30.984510,31.690002,20.406668,3133622
2004-05-19,31.842543,32.290627,31.680470,31.737671,20.437359,2959608
2004-05-20,31.461193,31.775806,31.117981,31.480263,20.271599,2123416
2004-05-21,31.680470,32.014149,31.423059,31.756739,20.449635,2001952
2004-05-24,31.956945,32.271557,31.613733,31.670937,20.394382,2596475
2004-05-25,31.480263,32.090420,31.289589,32.033215,20.627670,2302675
2004-05-26,31.918812,32.128551,31.613733,32.023682,20.621536,3138133
2004-05-27,32.033215,32.481300,31.928345,32.214355,20.744318,2176071
2004-05-28,32.300159,32.300159,31.766273,32.128551,20.689068,1697873
2004-06-01,32.042751,32.185757,31.461193,31.651869,20.382113,4130193
2004-06-02,31.670937,32.271557,31.661402,32.119019,20.682926,2466620
2004-06-03,32.119019,32.204823,31.651869,31.690002,20.406668,1597911
2004-06-04,31.928345,32.414562,31.756739,32.166687,20.713621,1612281
2004-06-07,32.443165,33.272594,32.385963,33.072388,21.296846,3024745
2004-06-08,33.100990,33.291664,32.805447,33.186794,21.370510,2268166
2004-06-09,33.186794,33.701614,33.015186,33.406067,21.511723,4495634
2004-06-10,33.406067,33.987625,33.406067,33.749283,21.732729,4798979
2004-06-14,33.777882,34.130630,33.749283,33.968555,21.873934,4085614
2004-06-15,34.082958,34.750320,33.367931,34.292702,22.082663,4951700
2004-06-16,34.292702,34.378506,33.911354,34.368973,22.131779,2233552
2004-06-17,34.197365,34.502441,34.054359,34.483376,22.205448,2479731
2004-06-18,34.492908,34.979130,34.321304,34.836121,22.432592,3598500
2004-06-21,34.731251,35.112598,34.492908,34.569180,22.260698,2204707
2004-06-22,34.569180,35.169804,34.569180,35.045864,22.567650,2602454
2004-06-23,35.036331,35.837158,34.817055,35.760891,23.028109,3431303
2004-06-24,35.484413,35.503483,35.188869,35.331875,22.751831,2707869
2004-06-25,35.160267,35.493946,34.750320,35.093533,22.598360,3426269
2004-06-28,35.160267,35.560684,34.597778,34.645451,22.309822,3207780
2004-06-29,34.511978,35.207935,34.473843,34.940994,22.500124,2602873
2004-06-30,35.084000,35.207935,34.740784,34.921925,22.487854,2900030
2004-07-01,34.836121,35.055397,34.235500,34.378506,22.137913,2889750
2004-07-02,33.987625,34.349903,33.749283,34.206898,22.027411,2206595
2004-07-06,33.863686,34.073425,33.558605,33.930420,21.849367,2824718
2004-07-07,33.720680,34.464310,33.615810,34.254566,22.058102,2435782
2004-07-08,34.130630,34.454777,33.796951,33.882751,21.818676,2697380
2004-07-09,33.987625,34.540577,33.949490,34.511978,22.223871,2446166
2004-07-12,34.511978,34.550114,33.711147,34.235500,22.045835,3334699
2004-07-13,34.178295,34.302235,33.768349,33.959023,21.867786,3081806
2004-07-14,33.558605,34.111561,33.463268,33.816017,21.775702,3101735
2004-07-15,33.796951,34.283169,33.663479,34.035294,21.916897,4293928
2004-07-16,34.435707,34.807522,34.102028,34.702652,22.346649,5186027
2004-07-19,34.797989,34.883793,33.911354,34.187832,22.015135,3860203
2004-07-20,34.054359,34.311768,33.844620,34.225967,22.039688,3575948
2004-07-21,34.797989,35.274673,34.559647,34.902859,22.475567,6803238
2004-07-22,34.559647,35.122131,34.416641,34.893326,22.469437,4073447
2004-07-23,34.912392,35.036331,34.492908,34.569180,22.260698,2542351
2004-07-26,34.826588,35.112598,34.569180,34.769386,22.389626,3361865
2004-07-27,35.036331,35.617886,34.902859,35.608353,22.929873,4458292
2004-07-28,35.608353,36.418716,35.312805,36.332912,23.396454,6781421
2004-07-29,36.351978,36.666592,36.094570,36.123173,23.261387,4054042
2004-07-30,35.980167,36.094570,35.532082,35.856228,23.089489,3569025
2004-08-02,35.179337,35.827625,35.179337,35.713223,22.997400,4002331
2004-08-03,35.741821,35.884830,35.131668,35.274673,22.714998,3607730
2004-08-04,34.464310,35.131668,34.378506,34.950527,22.506271,5545279
2004-08-05,35.055397,35.131668,34.025757,34.102028,21.959888,3528432
2004-08-06,33.844620,33.844620,32.834045,32.967518,21.229311,5051871
2004-08-09,33.081921,33.434669,32.557568,32.996120,21.247738,3914012
2004-08-10,33.177258,33.816017,33.081921,33.816017,21.775702,3640246
2004-08-11,33.777882,34.073425,33.387001,33.968555,21.873934,3776080
2004-08-12,33.949490,33.949490,32.671974,33.081921,21.302982,3745557
2004-08-13,32.919849,33.177258,32.414562,33.177258,21.364376,4547660
2004-08-16,33.034252,33.854153,32.900784,33.682545,21.689760,3250786
2004-08-17,33.692078,33.987625,33.406067,33.491871,21.566975,2395713
2004-08-18,33.034252,34.035294,32.900784,33.959023,21.985447,3417143
2004-08-19,33.920887,34.016224,33.081921,33.320267,21.571911,3244702
2004-08-20,33.167725,33.835083,33.043789,33.758816,21.855829,2621963
2004-08-23,33.777882,34.025757,33.587208,33.673012,21.800280,1640707
2004-08-24,33.892288,34.187832,33.873219,34.025757,22.028658,2345995
2004-08-25,34.035294,34.940994,33.920887,34.788452,22.522425,2790628
2004-08-26,34.645451,34.759853,34.302235,34.654984,22.436018,1815770
2004-08-27,34.559647,34.931458,34.559647,34.759853,22.503918,1336103
2004-08-30,34.702652,34.931458,34.016224,34.016224,22.022478,2490849
2004-08-31,34.206898,34.378506,33.863686,34.302235,22.207649,2302255
2004-09-01,34.187832,34.597778,33.844620,34.321304,22.219995,1642385
2004-09-02,34.273636,34.960060,34.235500,34.874256,22.577988,1769723
